idna_subject,checker_type,destination,tested_at
104.248.147.78,AVAILABILITY,origin.list,2022-11-06 05:22:02.414676
143.198.220.122,AVAILABILITY,origin.list,2022-11-06 05:22:02.740764
178.128.103.205,AVAILABILITY,origin.list,2022-11-06 05:22:03.047738
178.62.66.213,AVAILABILITY,origin.list,2022-11-06 05:22:03.720692
178.128.121.13,AVAILABILITY,origin.list,2022-11-06 05:22:03.901548
167.99.75.230,AVAILABILITY,origin.list,2022-11-06 05:22:03.907796
167.99.28.28,AVAILABILITY,origin.list,2022-11-06 05:22:04.589096
68.183.188.200,AVAILABILITY,origin.list,2022-11-06 05:22:04.762383
47.252.1.213,AVAILABILITY,origin.list,2022-11-06 05:22:04.893513
68.183.227.208,AVAILABILITY,origin.list,2022-11-06 05:22:05.598893
68.183.232.91,AVAILABILITY,origin.list,2022-11-06 05:22:05.655584
178.128.95.49,AVAILABILITY,origin.list,2022-11-06 05:22:05.791054
159.89.193.197,AVAILABILITY,origin.list,2022-11-06 05:22:06.484501
198.72.111.143,AVAILABILITY,origin.list,2022-11-06 05:22:06.603216
216.83.47.24,AVAILABILITY,origin.list,2022-11-06 05:22:07.212747
167.99.30.195,AVAILABILITY,origin.list,2022-11-06 05:22:09.035150
68.183.178.88,AVAILABILITY,origin.list,2022-11-06 05:22:12.022368
67.205.163.215,AVAILABILITY,origin.list,2022-11-06 05:22:15.858690
142.93.230.205,AVAILABILITY,origin.list,2022-11-06 05:22:17.263521
45.64.128.167,AVAILABILITY,origin.list,2022-11-06 05:22:17.983036
157.230.81.197,AVAILABILITY,origin.list,2022-11-06 05:22:19.526448
103.5.47.212,AVAILABILITY,origin.list,2022-11-06 05:22:23.170487
103.5.47.220,AVAILABILITY,origin.list,2022-11-06 05:22:27.005418
143.198.201.243,AVAILABILITY,origin.list,2022-11-06 05:22:27.809464
103.5.47.209,AVAILABILITY,origin.list,2022-11-06 05:22:29.136441
103.5.47.224,AVAILABILITY,origin.list,2022-11-06 05:22:30.740194
103.197.58.59,AVAILABILITY,origin.list,2022-11-06 05:22:34.129878
