subject,idna_subject,expiration_date,epoch,registrar
1001tutorial.com,1001tutorial.com,06-apr-2021,1617667200.0,
1001tutorial.com,1001tutorial.com,06-apr-2021,1617667200.0,
1001win.net,1001win.net,25-nov-2021,1637798400.0,
1001win.net,1001win.net,25-nov-2021,1637798400.0,
1001win.org,1001win.org,25-nov-2021,1637798400.0,
1001win.org,1001win.org,25-nov-2021,1637798400.0,
1shortlink.com,1shortlink.com,28-apr-2022,1651104000.0,
1shortlink.com,1shortlink.com,28-apr-2022,1651104000.0,
1x2018.com,1x2018.com,23-nov-2021,1637625600.0,
1x2018.com,1x2018.com,23-nov-2021,1637625600.0,
1xfifa.com,1xfifa.com,04-sep-2021,1630713600.0,
1xfifa.com,1xfifa.com,04-sep-2021,1630713600.0,
1xliga.com,1xliga.com,23-nov-2021,1637625600.0,
1xliga.com,1xliga.com,23-nov-2021,1637625600.0,
21cineplex.com,21cineplex.com,10-nov-2022,1668038400.0,
21cineplex.com,21cineplex.com,10-nov-2022,1668038400.0,
2go7v1nes8.com,2go7v1nes8.com,27-jul-2021,1627344000.0,
2go7v1nes8.com,2go7v1nes8.com,27-jul-2021,1627344000.0,
365wp.org,365wp.org,04-oct-2021,1633305600.0,
365wp.org,365wp.org,04-oct-2021,1633305600.0,
abenetwork.com,abenetwork.com,07-may-2021,1620345600.0,
abenetwork.com,abenetwork.com,07-may-2021,1620345600.0,
accesstrade.co.id,accesstrade.co.id,26-aug-2021,1629936000.0,
accesstrade.co.id,accesstrade.co.id,26-aug-2021,1629936000.0,
ace4d.me,ace4d.me,20-jul-2021,1626739200.0,
ace4d.me,ace4d.me,20-jul-2021,1626739200.0,
acehasia.com,acehasia.com,20-jun-2021,1624147200.0,
acehasia.com,acehasia.com,20-jun-2021,1624147200.0,
acehmonitor.com,acehmonitor.com,07-jul-2021,1625616000.0,
acehmonitor.com,acehmonitor.com,07-jul-2021,1625616000.0,
acehtrend.com,acehtrend.com,08-dec-2021,1638921600.0,
acehtrend.com,acehtrend.com,08-dec-2021,1638921600.0,
ad-loupe.com,ad-loupe.com,17-aug-2021,1629158400.0,
ad-loupe.com,ad-loupe.com,17-aug-2021,1629158400.0,
ad4msan.com,ad4msan.com,14-aug-2024,1723593600.0,
ad4msan.com,ad4msan.com,14-aug-2024,1723593600.0,
ad4msan.win,ad4msan.win,16-dec-2026,1797379200.0,
ad4msan.win,ad4msan.win,16-dec-2026,1797379200.0,
addesigner.com,addesigner.com,28-jul-2021,1627430400.0,
addesigner.com,addesigner.com,28-jul-2021,1627430400.0,
adflazz.com,adflazz.com,15-nov-2021,1636934400.0,
adflazz.com,adflazz.com,15-nov-2021,1636934400.0,
adplus.co.id,adplus.co.id,25-apr-2021,1619308800.0,
adplus.co.id,adplus.co.id,25-apr-2021,1619308800.0,
adpop-1.com,adpop-1.com,24-jul-2021,1627084800.0,
adpop-1.com,adpop-1.com,24-jul-2021,1627084800.0,
ads-ina.org,ads-ina.org,06-apr-2021,1617667200.0,
ads-ina.org,ads-ina.org,06-apr-2021,1617667200.0,
ads.id,ads.id,13-jun-2021,1623542400.0,
ads.id,ads.id,13-jun-2021,1623542400.0,
adsafelink.com,adsafelink.com,01-dec-2021,1638316800.0,
adsafelink.com,adsafelink.com,01-dec-2021,1638316800.0,
adslop.com,adslop.com,10-nov-2021,1636502400.0,
adslop.com,adslop.com,10-nov-2021,1636502400.0,
adstarsmedia.co.id,adstarsmedia.co.id,02-aug-2021,1627862400.0,
adstarsmedia.co.id,adstarsmedia.co.id,02-aug-2021,1627862400.0,
adtival.com,adtival.com,15-jul-2021,1626307200.0,
adtival.com,adtival.com,15-jul-2021,1626307200.0,
advertising-indonesia.id,advertising-indonesia.id,02-jun-2021,1622592000.0,
advertising-indonesia.id,advertising-indonesia.id,02-jun-2021,1622592000.0,
agansultan.co,agansultan.co,26-jun-2021,1624665600.0,
agansultan.co,agansultan.co,26-jun-2021,1624665600.0,
agenbola.org,agenbola.org,16-apr-2021,1618531200.0,
agenbola.org,agenbola.org,16-apr-2021,1618531200.0,
agungqiu.org,agungqiu.org,04-oct-2021,1633305600.0,
agungqiu.org,agungqiu.org,04-oct-2021,1633305600.0,
aibouanime.xyz,aibouanime.xyz,02-may-2021,1619913600.0,
aibouanime.xyz,aibouanime.xyz,02-may-2021,1619913600.0,
aii.sh,aii.sh,30-jul-2021,1627603200.0,
aii.sh,aii.sh,30-jul-2021,1627603200.0,
aimaniape.club,aimaniape.club,04-oct-2021,1633305600.0,
aimaniape.club,aimaniape.club,04-oct-2021,1633305600.0,
airartapt.site,airartapt.site,29-sep-2021,1632873600.0,
airartapt.site,airartapt.site,29-sep-2021,1632873600.0,
aiwhebey.com,aiwhebey.com,25-oct-2021,1635120000.0,
aiwhebey.com,aiwhebey.com,25-oct-2021,1635120000.0,
akashiro.co.id,akashiro.co.id,05-oct-2022,1664928000.0,
akashiro.co.id,akashiro.co.id,05-oct-2022,1664928000.0,
akbardwi.my.id,akbardwi.my.id,10-dec-2024,1733788800.0,
akbardwi.my.id,akbardwi.my.id,10-dec-2024,1733788800.0,
akurasinews.com,akurasinews.com,07-jun-2021,1623024000.0,
akurasinews.com,akurasinews.com,07-jun-2021,1623024000.0,
akustik365.com,akustik365.com,10-apr-2021,1618012800.0,
akustik365.com,akustik365.com,10-apr-2021,1618012800.0,
alamathoki.com,alamathoki.com,04-apr-2021,1617494400.0,
alamathoki.com,alamathoki.com,04-apr-2021,1617494400.0,
alasannews.com,alasannews.com,27-nov-2021,1637971200.0,
alasannews.com,alasannews.com,27-nov-2021,1637971200.0,
aleaidass.site,aleaidass.site,16-oct-2021,1634342400.0,
aleaidass.site,aleaidass.site,16-oct-2021,1634342400.0,
alexanews.id,alexanews.id,23-aug-2021,1629676800.0,
alexanews.id,alexanews.id,23-aug-2021,1629676800.0,
alexavegascasino.win,alexavegascasino.win,21-apr-2021,1618963200.0,
alexavegascasino.win,alexavegascasino.win,21-apr-2021,1618963200.0,
alfanrenata.com,alfanrenata.com,07-nov-2021,1636243200.0,
alfanrenata.com,alfanrenata.com,07-nov-2021,1636243200.0,
aliansirakyatnews.com,aliansirakyatnews.com,17-may-2021,1621209600.0,
aliansirakyatnews.com,aliansirakyatnews.com,17-may-2021,1621209600.0,
alibabamovie.net,alibabamovie.net,01-jul-2021,1625097600.0,
alibabamovie.net,alibabamovie.net,01-jul-2021,1625097600.0,
alinea.id,alinea.id,11-apr-2021,1618099200.0,
alinea.id,alinea.id,11-apr-2021,1618099200.0,
allartand.club,allartand.club,18-jul-2021,1626566400.0,
allartand.club,allartand.club,18-jul-2021,1626566400.0,
alona.co.id,alona.co.id,27-feb-2022,1645920000.0,
alona.co.id,alona.co.id,27-feb-2022,1645920000.0,
amaumomt.com,amaumomt.com,30-nov-2021,1638230400.0,
amaumomt.com,amaumomt.com,30-nov-2021,1638230400.0,
amazonaws.com,amazonaws.com,16-jan-2024,1705363200.0,
amazonaws.com,amazonaws.com,16-jan-2024,1705363200.0,
ampburask.site,ampburask.site,04-oct-2021,1633305600.0,
ampburask.site,ampburask.site,04-oct-2021,1633305600.0,
ampproject.org,ampproject.org,31-aug-2021,1630368000.0,
ampproject.org,ampproject.org,31-aug-2021,1630368000.0,
amtread.com,amtread.com,05-jun-2021,1622851200.0,
amtread.com,amtread.com,05-jun-2021,1622851200.0,
anangcozz.com,anangcozz.com,04-dec-2021,1638576000.0,
anangcozz.com,anangcozz.com,04-dec-2021,1638576000.0,
androidapksfree.com,androidapksfree.com,21-jul-2024,1721520000.0,
androidapksfree.com,androidapksfree.com,21-jul-2024,1721520000.0,
androidbusiness.us,androidbusiness.us,18-nov-2021,1637193600.0,
androidbusiness.us,androidbusiness.us,18-nov-2021,1637193600.0,
angkasareview.com,angkasareview.com,19-jul-2021,1626652800.0,
angkasareview.com,angkasareview.com,19-jul-2021,1626652800.0,
anichin.my.id,anichin.my.id,07-dec-2025,1765065600.0,
anichin.my.id,anichin.my.id,07-dec-2025,1765065600.0,
anime-indo.id,anime-indo.id,09-may-2021,1620518400.0,
anime-indo.id,anime-indo.id,09-may-2021,1620518400.0,
animebatch.web.id,animebatch.web.id,26-dec-2021,1640476800.0,
animebatch.web.id,animebatch.web.id,26-dec-2021,1640476800.0,
animecracks.com,animecracks.com,18-jan-2023,1674000000.0,
animecracks.com,animecracks.com,18-jan-2023,1674000000.0,
animeindo.fun,animeindo.fun,15-may-2021,1621036800.0,
animeindo.fun,animeindo.fun,15-may-2021,1621036800.0,
animekompi.web.id,animekompi.web.id,13-sep-2021,1631491200.0,
animekompi.web.id,animekompi.web.id,13-sep-2021,1631491200.0,
animekuro.net,animekuro.net,07-nov-2022,1667779200.0,
animekuro.net,animekuro.net,07-nov-2022,1667779200.0,
animelu.com,animelu.com,03-jul-2021,1625270400.0,
animelu.com,animelu.com,03-jul-2021,1625270400.0,
animenonton.tv,animenonton.tv,18-jul-2021,1626566400.0,
animenonton.tv,animenonton.tv,18-jul-2021,1626566400.0,
anirocksite.com,anirocksite.com,10-sep-2021,1631232000.0,
anirocksite.com,anirocksite.com,10-sep-2021,1631232000.0,
anisora.net,anisora.net,06-may-2021,1620259200.0,
anisora.net,anisora.net,06-may-2021,1620259200.0,
anitoki.com,anitoki.com,05-jul-2021,1625443200.0,
anitoki.com,anitoki.com,05-jul-2021,1625443200.0,
annews.co.id,annews.co.id,12-sep-2021,1631404800.0,
annews.co.id,annews.co.id,12-sep-2021,1631404800.0,
antburape.club,antburape.club,18-jul-2021,1626566400.0,
antburape.club,antburape.club,18-jul-2021,1626566400.0,
apahabar.com,apahabar.com,12-apr-2021,1618185600.0,
apahabar.com,apahabar.com,12-apr-2021,1618185600.0,
apamanfaat.id,apamanfaat.id,10-aug-2021,1628553600.0,
apamanfaat.id,apamanfaat.id,10-aug-2021,1628553600.0,
apearmare.site,apearmare.site,04-oct-2021,1633305600.0,
apearmare.site,apearmare.site,04-oct-2021,1633305600.0,
apk.support,apk.support,28-jul-2021,1627430400.0,
apk.support,apk.support,28-jul-2021,1627430400.0,
apkgezegeni.com,apkgezegeni.com,01-jun-2021,1622505600.0,
apkgezegeni.com,apkgezegeni.com,01-jun-2021,1622505600.0,
apkmodif.com,apkmodif.com,07-jan-2029,1862438400.0,
apkmodif.com,apkmodif.com,07-jan-2029,1862438400.0,
apkmody.io,apkmody.io,18-may-2021,1621296000.0,
apkmody.io,apkmody.io,18-may-2021,1621296000.0,
apkpure.com,apkpure.com,28-nov-2021,1638057600.0,
apkpure.com,apkpure.com,28-nov-2021,1638057600.0,
aplikasipc.com,aplikasipc.com,18-oct-2021,1634515200.0,
aplikasipc.com,aplikasipc.com,18-oct-2021,1634515200.0,
aptalebow.site,aptalebow.site,04-oct-2021,1633305600.0,
aptalebow.site,aptalebow.site,04-oct-2021,1633305600.0,
aptantasp.site,aptantasp.site,08-nov-2021,1636329600.0,
aptantasp.site,aptantasp.site,08-nov-2021,1636329600.0,
ardetamedia.com,ardetamedia.com,30-apr-2021,1619740800.0,
ardetamedia.com,ardetamedia.com,30-apr-2021,1619740800.0,
ardhosting.com,ardhosting.com,21-sep-2021,1632182400.0,
ardhosting.com,ardhosting.com,21-sep-2021,1632182400.0,
ardisaz.com,ardisaz.com,25-jun-2021,1624579200.0,
ardisaz.com,ardisaz.com,25-jun-2021,1624579200.0,
arearmark.club,arearmark.club,18-jul-2021,1626566400.0,
arearmark.club,arearmark.club,18-jul-2021,1626566400.0,
arenabola.id,arenabola.id,10-nov-2022,1668038400.0,
arenabola.id,arenabola.id,10-nov-2022,1668038400.0,
arenalte.com,arenalte.com,04-jun-2021,1622764800.0,
arenalte.com,arenalte.com,04-jun-2021,1622764800.0,
